team1,team2,team1_score1,team2_score1,team1_score2,team2_score2,team1_tot,team2_tot,winner
Real Madrid,Man_City,1,1,0,4,1,5,Man_City
AC Milan,Inter,0,2,0,1,0,3,Inter
