name,boost,rating_1,min_1,rating_2,min_2,team
Vinicious Jr.,1,8.5,90,7.9,90.0,Real Madrid
Modric,0,7.9,81,7.0,90.0,Real Madrid
Kroos,1,8.2,84,6.7,74.0,Real Madrid
Ruidiger,0,6.4,19,6.5,44.0,Real Madrid
Benzema,1,8.4,87,6.8,71.0,Real Madrid
Carvajal,2,7.5,90,7.7,81.0,Real Madrid
Militao,1,7.1,90,7.3,90.0,Real Madrid
Nacho,0,7.2,63,0.0,9.0,Real Madrid
Camavinga,3,7.2,71,7.9,90.0,Real Madrid
Rodrygo,1,7.0,71,9.2,81.0,Real Madrid
Valverde,2,7.8,90,8.4,90.0,Real Madrid
Alaba,2,8.0,27,6.6,46.0,Real Madrid
Courtois,3,7.6,90,8.0,90.0,Real Madrid
Asensio,1,7.6,19,0.0,9.0,Real Madrid
Reece James,0,6.4,90,7.4,90.0,Chelsea
Chillwell,0,7.1,71,0.0,0.0,Chelsea
Enzo,0,7.4,90,6.8,67.0,Chelsea
Koulibaly,0,6.5,55,0.0,0.0,Chelsea
Kovacic,0,6.3,90,7.1,90.0,Chelsea
Havertz,0,6.0,35,7.2,77.0,Chelsea
Sterling,-2,6.0,65,6.6,67.0,Chelsea
Kepa,2,6.7,90,6.3,90.0,Chelsea
Fofana,-2,5.9,90,6.1,90.0,Chelsea
Cucurella,-3,6.6,35,6.7,67.0,Chelsea
Felix,0,6.5,65,6.3,24.0,Chelsea
Thiago Silva,0,6.5,75,6.6,90.0,Chelsea
Mason Mount,-1,6.1,15,0.0,0.0,Chelsea
Mudryk,-1,0.0,0,6.1,23.0,Chelsea
Conner Gallagher,-1,6.1,15,6.7,67.0,Chelsea
Ngolo Kante,-1,6.4,75,7.0,90.0,Chelsea
Haaland,1,8.3,90,7.1,84.0,Man_City
Ruben Dias,2,7.4,90,7.3,90.0,Man_City
De Bruyne,1,7.1,68,7.6,88.0,Man_City
Gundogan,0,7.0,90,7.3,90.0,Man_City
Rodri,1,8.8,90,7.6,90.0,Man_City
Akanji,1,7.8,90,6.1,90.0,Man_City
Bernardo Silva,2,8.9,90,6.6,90.0,Man_City
Stones,1,7.6,90,6.6,63.0,Man_City
Ake,1,7.3,90,6.1,66.0,Man_City
Ederson,5,8.2,90,7.9,90.0,Man_City
Julian Alvarez,0,6.0,22,6.0,6.0,Man_City
Kimmich,0,6.5,90,8.1,90.0,Bayern
