name,boost,rating_1,min_1,rating_2,min_2,team
Darwin Nunez,1,7.2,64.0,6.1,57.0,Liverpool
Diogo Jota,-1,6.0,26.0,5.5,57.0,Liverpool
Virgil Van Diek,-2,4.8,90.0,6.8,90.0,Liverpool
H. Elliot,-1,6.0,5.0,6.6,33.0,Liverpool
Andrew Robertson,-2,4.8,90.0,6.8,90.0,Liverpool
Alisson,-1,2.7,90.0,6.9,90.0,Liverpool
Joe Gomez,-2,4.6,73.0,0.0,0.0,Liverpool
James Milner,1,7.0,17.0,7.3,73.0,Liverpool
Trent,0,6.2,90.0,6.1,90.0,Liverpool
Fabinho,0,6.9,90.0,7.4,90.0,Liverpool
Henderson,0,7.5,73.0,0.0,0.0,Liverpool
Salah,0,8.4,90.0,6.4,90.0,Liverpool
Firmino,0,6.6,26.0,6.1,33.0,Liverpool
Joel Matip,0,6.2,17.0,0.0,0.0,Liverpool
Vinicious Jr.,1,9.2,90.0,8.1,84.0,Real Madrid
Modric,2,8.2,87.0,6.9,82.0,Real Madrid
Kroos,1,0.0,0.0,7.8,84.0,Real Madrid
Ruidiger,2,6.9,90.0,7.7,90.0,Real Madrid
Benzema,4,9.2,87.0,8.3,82.0,Real Madrid
Carvajal,2,6.5,90.0,7.3,86.0,Real Madrid
Militao,2,8.2,90.0,6.9,90.0,Real Madrid
Nacho,3,63.0,7.2,8.0,90.0,Real Madrid
Camavinga,1,7.2,90.0,7.5,90.0,Real Madrid
Rodrygo,0,7.9,81.0,0.0,8.0,Real Madrid
Valverde,0,7.3,90.0,7.4,90.0,Real Madrid
Alaba,0,6.3,27.0,0.0,0.0,Real Madrid
Courtois,0,4.7,90.0,8.4,90.0,Real Madrid
Bellingham,2,7.1,90.0,7.6,90.0,Dourtmund
Julian Brant,1,7.5,90.0,0.0,5.0,Dourtmund
Rafael Guerreiro,1,7.8,90.0,6.4,90.0,Dourtmund
Schlottebeck,1,7.7,90.0,7.1,90.0,Dourtmund
Kareen Adeyemi,1,8.2,79.0,0.0,0.0,Dourtmund
Marco Reus,-1,0.0,0.0,6.2,90.0,Dourtmund
Gregor Kobel,2,8.7,90.0,6.8,90.0,Dourtmund
G. Reyna,1,0.0,0.0,7.6,85.0,Dourtmund
Emre Can,3,8.2,90.0,7.7,90.0,Dourtmund
Antony Modeste,-1,6.4,22.0,0.0,0.0,Dourtmund
Donyell Malen,-1,0.0,0.0,6.4,13.0,Dourtmund
Jamie Bynoe-Gittens,0,6.0,11.0,6.0,26.0,Dourtmund
Julian Ryerson,0,6.0,17.0,0.0,0.0,Dourtmund
Sule,0,7.2,90.0,6.4,90.0,Dourtmund
Wolf,0,7.3,73.0,6.5,90.0,Dourtmund
Ozcan,0,6.7,90.0,6.7,64.0,Dourtmund
Haller,0,6.4,68.0,0.0,0.0,Dourtmund
Reece James,1,7.1,90.0,7.6,90.0,Chelsea
Chillwell,2,7.1,71.0,7.4,90.0,Chelsea
Enzo,2,7.0,90.0,7.4,87.0,Chelsea
Koulibaly,3,7.0,90.0,7.6,90.0,Chelsea
Kovacic,1,0.0,0.0,7.3,83.0,Chelsea
Havertz,2,6.9,90.0,8.6,90.0,Chelsea
Sterling,1,0.0,0.0,7.7,83.0,Chelsea
Kepa,1,5.7,90.0,7.9,90.0,Chelsea
Fofana,1,0.0,0.0,7.5,90.0,Chelsea
Cucurella,1,6.3,19.0,7.5,90.0,Chelsea
Pulisic,-1,0.0,0.0,6.0,83.0,Chelsea
Ziyech,0,6.9,90.0,0.0,0.0,Chelsea
Felix,0,7.5,90.0,7.6,67.0,Chelsea
Loftus-Cheek,0,7.2,90.0,0.0,7.0,Chelsea
Thiago Silva,0,7.0,90.0,0.0,0.0,Chelsea
Mason Mount,0,6.7,19.0,0.0,0.0,Chelsea
Andre Silva,-1,6.8,82.0,5.9,28.0,Leipzig
Szoboszlai,-1,6.8,90.0,6.1,72.0,Leipzig
Blaswich,1,6.1,90.0,6.0,90.0,Leipzig
David Raum,-2,0.0,0.0,5.1,90.0,Leipzig
Willi Orban,-2,7.1,90.0,4.7,90.0,Leipzig
Timo Werner,-2,6.3,90.0,6.2,62.0,Leipzig
Emil Forsberg,-2,6.7,66.0,5.7,62.0,Leipzig
Kevin Kampl,-2,0.0,0.0,4.9,90.0,Leipzig
Benajmin Henrichs,-2,6.3,44.0,4.0,79.0,Leipzig
Dani Olmo,-1,0.0,0.0,6.3,18.0,Leipzig
Lucas Klostermann,-2,6.3,46.0,6.0,11.0,Leipzig
Conrad Laimer,-2,6.6,90.0,6.6,90.0,Leipzig
Yusuf Poulsen,-1,0.0,0.0,5.8,28.0,Leipzig
Schlager,0,6.0,82.0,0.0,0.0,Leipzig
Halstenberg,0,8.0,89.0,0.0,0.0,Leipzig
Gvardiol,0,8.1,90.0,4.5,90.0,Leipzig
Haaland,1,6.5,90.0,9.7,63.0,Man_City
Marhez,4,8.4,90.0,7.8,35.0,Man_City
Ruben Dias,1,7.4,90.0,6.8,90.0,Man_City
De Bruyne,1,0.0,0.0,8.7,90.0,Man_City
Gundogan,3,7.2,90.0,7.8,90.0,Man_City
Rodri,1,6.6,90.0,7.0,63.0,Man_City
Akanji,1,6.9,90.0,7.4,90.0,Man_City
Bernardo Silva,2,7.2,90.0,7.0,90.0,Man_City
Stones,1,0.0,0.0,7.0,63.0,Man_City
Ake,2,7.1,90.0,8.0,90.0,Man_City
Ederson,1,6.9,9.0,7.1,90.0,Man_City
Kyle Walker,1,7.4,90.0,0.0,0.0,Man_City
Julian Alvarez,0,0.0,0.0,6.3,27.0,Man_City
Phil Foden,0,0.0,0.0,6.9,35.0,Man_City
Kylian Mbappe,-1,6.2,33.0,5.6,90.0,PSG
Sergio Ramos,2,7.4,90.0,7.3,90.0,PSG
Hakimi,-1,6.3,46.0,7.0,90.0,PSG
Nunu Mendes,1,7.5,90.0,6.7,81.0,PSG
Vitinha,-1,6.3,15.0,6.9,81.0,PSG
Donnarumma,1,6.7,90.0,6.6,90.0,PSG
Danilo Pereira,1,6.8,75.0,7.4,90.0,PSG
Kimpembe,-1,6.0,44.0,0.0,0.0,PSG
Zaire-Emery,-1,6.0,57.0,6.7,14.0,PSG
Neymar,0,6.6,90.0,0.0,0.0,PSG
Lionel Messi,0,6.8,90.0,7.0,90.0,PSG
Verratti,0,6.8,90.0,6.2,90.0,PSG
Soler,0,7.0,57.0,0.0,0.0,PSG
Marquinhos,0,6.8,90.0,6.5,36.0,PSG
Fabian Ruiz,0,6.6,33.0,6.8,76.0,PSG
Kimmich,1,8.1,90.0,8.1,90.0,Bayern
De Ligt,2,7.4,90.0,8.3,90.0,Bayern
Upamecano,4,8.0,90.0,8.0,90.0,Bayern
Goretzka,1,7.0,90.0,7.8,90.0,Bayern
Choupo-Moting,3,7.1,75.0,7.5,68.0,Bayern
