name,boost,rating_1,min_1,rating_2,min_2,team
Coman,1,8.7,75.0,7.2,86.0,Bayern
Musiala,3,7.7,87.0,8.1,82.0,Bayern
Stanisic,1,0.0,0.0,7.9,90.0,Bayern
Thomas Muller,0,5.9,15.0,7.6,86.0,Bayern
Serge Gnabry,0,6.1,15.0,0.0,4.0,Bayern
Alphonso Davis,3,7.5,44.0,8.1,90.0,Bayern
Sommer,0,7.3,0.0,7.9,90.0,Bayern
Pavard,0,6.5,90.0,0.0,0.0,Bayern
Sane,0,6.6,90.0,6.3,22.0,Bayern
Cancelo,0,6.7,46.0,0.0,4.0,Bayern
Leao,2,7.8,90.0,7.2,89.0,AC Milan
Theo,3,7.2,90.0,8.0,90.0,AC Milan
Giroud,1,7.5,90.0,6.8,81.0,AC Milan
Kalulu,2,7.2,90.0,7.0,90.0,AC Milan
Tonali,1,7.2,86.0,7.1,90.0,AC Milan
Tartarusanu,1,7.8,90.0,0.0,0.0,AC Milan
Kjaer,1,6.9,90.0,0.0,0.0,AC Milan
Tomori,2,0.0,0.0,7.6,90.0,AC Milan
Maignan,2,0.0,0.0,7.6,90.0,AC Milan
Brahim,1,7.7,77.0,6.5,81.0,AC Milan
De Ketelaere,-2,5.8,13.0,0.0,0.0,AC Milan
Thiaw,7,7.7,90.0,7.4,90.0,AC Milan
Origi,-1,0.0,0.0,6.0,9.0,AC Milan
Saelemaekers,0,6.5,77.0,6.4,34.0,AC Milan
Krunic,0,6.8,90.0,6.9,90.0,AC Milan
Messias,0,6.3,13.0,6.6,56.0,AC Milan
Lenglet,1,6.6,81.0,7.1,90.0,Spurs
Richalison,-1,0.0,6.2,6.1,20.0,Spurs
Romero,-2,6.7,90.0,5.7,77.0,Spurs
Emerson Royal,1,6.6,90.0,7.2,70.0,Spurs
Ben Davis,1,6.7,90.0,7.5,90.0,Spurs
Kulusevski,-1,70.0,5.4,6.6,83.0,Spurs
Oliver Skipp,1,7.0,90.0,7.2,90.0,Spurs
F. Foster,1,6.2,90.0,7.3,90.0,Spurs
Kane,0,6.3,90.0,5.9,90.0,Spurs
Son,0,6.8,81.0,6.0,90.0,Spurs
Sarr,0,7.7,90.0,0.0,0.0,Spurs
Perisic,0,7.3,90.0,6.5,53.0,Spurs
Dier,0,6.7,90.0,0.0,0.0,Spurs
Hoiberg,0,0.0,0.0,7.6,90.0,Spurs
Evan Ndicka,-2,6.9,90.0,6.0,90.0,Frankfurt
Kevin Trapp,3,8.1,90.0,6.9,90.0,Frankfurt
Kolo Muani,-2,5.1,58.0,0.0,0.0,Frankfurt
Lindstrom,-1,6.5,69.0,0.0,0.0,Frankfurt
Knauff,-2,6.2,21.0,6.0,62.0,Frankfurt
Mario Gotze,-2,6.4,81.0,0.0,0.0,Frankfurt
Jakic,-2,6.0,90.0,6.0,16.0,Frankfurt
Tuta,-2,6.8,90.0,6.1,90.0,Frankfurt
Chrisphoter Lenz,-1,0.0,0.0,6.0,67.0,Frankfurt
R. Borre,-1,5.9,21.0,6.5,90.0,Frankfurt
F. Alidou,-1,0.0,0.0,6.4,28.0,Frankfurt
Philipp Max,0,6.3,90.0,6.2,23.0,Frankfurt
Sow,0,6.7,90.0,6.7,90.0,Frankfurt
Kamada,0,6.7,90.0,6.4,90.0,Frankfurt
Buta,0,5.8,69.0,6.5,90.0,Frankfurt
Zielinski,3,7.9,90.0,8.8,74.0,Napoli
Di Lorenzo,2,8.5,90.0,8.1,90.0,Napoli
Min Jae Kim,2,8.7,90.0,7.0,66.0,Napoli
Anguissa,1,7.3,80.0,7.7,90.0,Napoli
Kvaratskehlia,1,7.9,84.0,7.4,74.0,Napoli
Lobotka,2,7.6,90.0,7.6,90.0,Napoli
Rrahmani,2,7.7,90.0,7.1,90.0,Napoli
Meret,2,7.5,90.0,7.3,90.0,Napoli
Mario Rui,1,0.0,0.0,7.9,90.0,Napoli
Ndombele,-1,6.2,10.0,6.7,16.0,Napoli
Oshimen,5,8.3,81.0,9.0,81.0,Napoli
Lozano,2,8.3,80.0,6.6,24.0,Napoli
Politano,1,6.0,6.0,7.8,66.0,Napoli
Elmas,-1,0.0,0.0,6.1,16.0,Napoli
Jesus,-1,0.0,0.0,6.1,24.0,Napoli
Olivera,0,7.3,90.0,0.0,0.0,Napoli
Yaremchuk,-1,0.0,0.0,6.1,62.0,Brugge
Noah Lang,1,8.2,90.0,6.2,46.0,Brugge
Mignolet,-2,6.2,90.0,4.2,90.0,Brugge
Clinton Mata,-2,7.0,90.0,5.6,62.0,Brugge
Sylla,-2,0.0,0.0,5.1,90.0,Brugge
Camal Sowah,-1,7.1,79.0,6.7,74.0,Brugge
Odoi,-2,5.9,65.0,6.4,28.0,Brugge
Vanaken,-3,6.3,90.0,5.8,74.0,Brugge
Onyedika,-1,6.8,90.0,44.0,6.3,Brugge
Casper Nielsen,-1,6.2,25.0,0.0,0.0,Brugge
Jutgla,-1,6.2,11.0,6.5,28.0,Brugge
Hendry,0,6.3,90.0,0.0,0.0,Brugge
Meijer,0,6.0,90.0,8.2,90.0,Brugge
Mechele,0,7.1,90.0,5.4,90.0,Brugge
Buchanan,0,6.3,90.0,7.0,90.0,Brugge
Grimaldo,2,7.8,90.0,8.1,90.0,Benfica
Mario,3,8.4,90.0,8.8,74.0,Benfica
Rafa,1,6.9,65.0,8.1,90.0,Benfica
Otamendi,1,7.5,90.0,7.1,74.0,Benfica
Alexander Bah,1,7.8,90.0,7.3,63.0,Benfica
Florentino,2,7.6,90.0,7.7,90.0,Benfica
David Neres,2,7.0,25.0,7.3,27.0,Benfica
Antonio Silva,2,7.1,90.0,7.3,88.0,Benfica
Arsunes,2,7.7,90.0,7.1,90.0,Benfica
Vlahodimos,1,8.1,90.0,6.2,90.0,Benfica
Guedes,0,6.9,25.0,0.0,0.0,Benfica
Chiquinho,0,7.4,90.0,7.3,63.0,Benfica
Joao Neves,0,0.0,0.0,7.3,16.0,Benfica
Gilberto,0,0.0,0.0,7.3,27.0,Benfica
Calhanoglu,4,7.8,90.0,7.6,90.0,Inter
Dumfries,2,6.0,9.0,7.6,90.0,Inter
Onana,4,7.9,90.0,8.1,90.0,Inter
Barella,1,6.5,90.0,7.1,80.0,Inter
Acerbi,1,7.4,90.0,7.1,90.0,Inter
Lukaku,2,7.7,32.0,6.9,20.0,Inter
Gosens,0,6.8,32.0,0.0,0.0,Inter
Brozovic,0,6.7,18.0,6.0,10.0,Inter
Dimarco,0,6.9,58.0,6.6,70.0,Inter
Bastoni,0,7.5,90.0,6.6,74.0,Inter
Skriniar,0,6.9,81.0,6.1,10.0,Inter
Darmian,0,7.3,90.0,6.7,80.0,Inter
Mkhitaryan,0,6.5,72.0,7.4,90.0,Inter
Dezeko,0,6.2,58.0,6.7,70.0,Inter
Martinez,0,6.6,90.0,6.9,90.0,Inter
Diogo Costa,3,7.3,90.0,7.6,90.0,Porto
Otavio,-1,5.4,78.0,0.0,0.0,Porto
Pepe,-1,6.8,90.0,0.0,0.0,Porto
Zaido Sanusi,1,7.4,90.0,6.9,85.0,Porto
Marcano,1,6.7,90.0,7.3,90.0,Porto
Wendell,-1,6.0,70.0,0.0,5.0,Porto
Evanilson,0,6.7,39.0,6.9,70.0,Porto
Taremi,0,7.0,83.0,6.3,90.0,Porto
Pepe,0,6.5,90.0,6.5,90.0,Porto
Grujic,3,7.2,9.0,8.4,90.0,Porto
Uribe,0,7.8,90.0,7.3,85.0,Porto
Mario,0,6.8,90.0,0.0,0.0,Porto
