team1,team2,team1_score1,team2_score1,team1_score2,team2_score2,team1_tot,team2_tot,winner
Real Madrid,Chelsea,2,0,2,0,4,0,Real Madrid
Man_City,Bayern,3,0,1,1,4,1,Man_City
AC Milan,Napoli,1,0,1,1,2,1,AC Milan
Benfica,Inter,0,2,3,3,3,5,Inter
